fullmove_number;turn;san;lan;score;move_count;best_move;best_move_score;best_move_score_diff;best_move_score_diff_category;is_check;is_capture;is_castling;possible_moves_count;is_capture_count;attackers_white;attackers_count_white;threatened_pieces_white;threatened_pieces_count_white;guards_white;guards_count_white;guarded_pieces_white;guarded_pieces_count_white;threatened_guarded_pieces_white;threatened_guarded_pieces_count_white;unopposed_threats_white;unopposed_threats_count_white;attackers_black;attackers_count_black;threatened_pieces_black;threatened_pieces_count_black;guards_black;guards_count_black;guarded_pieces_black;guarded_pieces_count_black;threatened_guarded_pieces_black;threatened_guarded_pieces_count_black;unopposed_threats_black;unopposed_threats_count_black;pawn_ending;rook_ending
6;False;b5;b7-b5;56;30;d6;58;2;1;False;False;False;25;2;b5, f6;2;a4, e4;2;b1, c1, d1, e1, g1, g2, f3, a4;8;c1, d1, e1, g1, b2, c2, d2, f2, g2, h2, f3, e4;12;e4;1;a4;1;a4, f3;2;b5, e5;2;a6, c6, f6, d7, e7, g7, a8, c8, d8, e8, h8;11;b5, e5, a6, c6, f6, c7, d7, e7, f7, h7, c8, d8, e8;13;e5, b5;2;;0;False;False
7;True;Bb3;Ba4-b3;39;25;Bb3;21;18;0;False;False;False;30;1;f6;1;e4;1;b1, c1, d1, e1, g1, a2, c2, g2, b3, f3;10;c1, d1, e1, g1, a2, b2, c2, d2, f2, g2, h2, b3, f3, e4;14;e4;1;;0;b3, f3;2;e5, f7;2;a6, c6, f6, d7, e7, g7, a8, c8, d8, e8, h8;11;b5, e5, a6, c6, f6, c7, d7, e7, f7, h7, c8, d8, e8;13;f7, e5;2;;0;False;False
7;False;d6;d7-d6;67;30;O-O;40;27;1;False;False;False;27;2;f6;1;e4;1;b1, c1, d1, e1, g1, a2, c2, g2, b3, f3;10;c1, d1, e1, g1, a2, b2, c2, d2, f2, g2, h2, b3, f3, e4;14;e4;1;;0;b3, f3;2;e5, f7;2;a6, c6, d6, f6, c7, e7, g7, a8, c8, d8, e8, h8;12;b5, e5, a6, d6, f6, c7, e7, f7, h7, c8, d8, e8;12;f7, e5;2;;0;False;False
8;True;c3;c2-c3;4;27;d3;25;21;1;False;False;False;33;1;f6;1;e4;1;b1, c1, d1, e1, g1, a2, b2, d2, g2, b3, f3;11;c1, d1, e1, g1, a2, b2, d2, f2, g2, h2, b3, c3, f3, e4;14;e4;1;;0;b3, f3;2;e5, f7;2;a6, c6, d6, f6, c7, e7, g7, a8, c8, d8, e8, h8;12;b5, e5, a6, d6, f6, c7, e7, f7, h7, c8, d8, e8;12;f7, e5;2;;0;False;False
8;False;O-O;O-O;64;33;O-O;59;5;0;False;False;True;27;2;f6;1;e4;1;b1, c1, d1, e1, g1, a2, b2, d2, g2, b3, f3;11;c1, d1, e1, g1, a2, b2, d2, f2, g2, h2, b3, c3, f3, e4;14;e4;1;;0;b3, f3;2;e5, f7;2;a6, c6, d6, f6, c7, e7, g7, a8, c8, d8, f8, g8;12;b5, e5, a6, d6, f6, c7, e7, f7, g7, h7, c8, d8, f8, g8;14;f7, e5;2;;0;False;False
9;True;h3;h2-h3;37;27;d4;43;6;1;False;False;False;30;2;c8, f6;2;e4, h3;2;b1, c1, d1, e1, g1, a2, b2, d2, g2, b3, f3;11;c1, d1, e1, g1, a2, b2, d2, f2, g2, b3, c3, f3, h3, e4;14;e4, h3;2;;0;b3, f3;2;e5, f7;2;a6, c6, d6, f6, c7, e7, g7, a8, c8, d8, f8, g8;12;b5, e5, a6, d6, f6, c7, e7, f7, g7, h7, c8, d8, f8, g8;14;f7, e5;2;;0;False;False
9;False;Bb7;Bc8-b7;86;30;Na5;61;25;1;False;False;False;28;2;f6;1;e4;1;b1, c1, d1, e1, g1, a2, b2, d2, g2, b3, f3;11;c1, d1, e1, g1, a2, b2, d2, f2, g2, b3, c3, f3, h3, e4;14;e4;1;;0;b3, f3;2;e5, f7;2;a6, c6, d6, f6, b7, c7, e7, g7, a8, d8, f8, g8;12;b5, e5, a6, c6, d6, f6, c7, e7, f7, g7, h7, a8, d8, f8, g8;15;f7, e5;2;;0;False;False
10;True;d4;d2-d4;62;28;d4;30;32;0;False;False;False;29;3;c6, e5, f6;3;d4, e4;2;b1, c1, d1, e1, g1, a2, b2, g2, b3, c3, f3;11;c1, d1, e1, g1, a2, b2, f2, g2, b3, c3, f3, h3, d4, e4;14;e4, d4;2;;0;b3, d4, f3;3;e5, f7;2;a6, c6, d6, f6, b7, c7, e7, g7, a8, d8, f8, g8;12;b5, e5, a6, c6, d6, f6, c7, e7, f7, g7, h7, a8, d8, f8, g8;15;f7, e5;2;;0;False;False
10;False;Re8;Rf8-e8;97;29;h6;47;50;2;False;False;False;36;3;c6, e5, f6;3;d4, e4;2;b1, c1, d1, e1, g1, a2, b2, g2, b3, c3, f3;11;c1, d1, e1, g1, a2, b2, f2, g2, b3, c3, f3, h3, d4, e4;14;e4, d4;2;;0;b3, d4, f3;3;e5, f7;2;a6, c6, d6, f6, b7, c7, e7, g7, a8, d8, e8, g8;12;b5, e5, a6, c6, d6, f6, c7, e7, f7, g7, h7, a8, d8, e8, g8;15;f7, e5;2;;0;False;False
11;True;Nbd2;Nb1-d2;23;36;Nbd2;49;26;0;False;False;False;29;3;c6, e5, f6;3;d4, e4;2;c1, d1, e1, g1, a2, b2, d2, g2, b3, c3, f3;11;c1, d1, e1, g1, a2, b2, d2, f2, g2, b3, c3, f3, h3, d4, e4;15;e4, d4;2;;0;b3, d4, f3;3;e5, f7;2;a6, c6, d6, f6, b7, c7, e7, g7, a8, d8, e8, g8;12;b5, e5, a6, c6, d6, f6, c7, e7, f7, g7, h7, a8, d8, e8, g8;15;f7, e5;2;;0;False;False
