fullmove_number;turn;san;lan;score;move_count;best_move;best_move_score;best_move_score_diff;best_move_score_diff_category;is_check;is_capture;is_castling;possible_moves_count;is_capture_count;attackers;attackers_count;threatened_pieces;threatened_pieces_count;guards;guards_count;guarded_pieces;guarded_pieces_count;threatened_guarded_pieces;threatened_guarded_pieces_count;unopposed_threats;unopposed_threats_count;pawn_ending;rook_ending
32;False;cxd3;c4xd3;108;40;Rxd3;42;66;2;False;True;False;21;2;b2, b3;2;a3, f2;2;f2, g2, h2, f3, g3, h3, g4;7;d5, f2, g2, h2, f3, g3, h3, g4;8;f2;1;a3;0;False;False
33;True;Qf4;Qf3-f4;0;21;Qf4;112;112;3;False;False;False;39;3;f4, g3;2;d3, f7;2;a6, b3, d7, b2;4;b3, d3, f8, b2;4;d3;1;f7;0;False;False
33;False;Qxa3;Qb2xa3;589;39;d2;0;589;4;False;True;False;30;2;;0;;0;f2, g2, h2, g3, h3, f4, g4;7;f2, g2, h2, g3, h3, g4;6;;0;;0;False;False
34;True;Nh6;Ng4-h6;869;30;Nh6;997;128;3;False;False;False;34;0;f4, g3, h6;3;d3, f7, g6;3;a3, b3, a6, d7;4;a6, a3, b3, d3, f8;5;d3;1;f7, g6;0;False;False
34;False;Qe7;Qa3-e7;1093;34;f6;979;114;3;False;False;False;34;4;;0;;0;f2, g2, h2, g3, f4;5;f2, g2, h6, g3, h3;5;;0;;0;False;False
35;True;Rxg6;Rg3xg6;1120;34;Rxg6;973;147;3;False;True;False;37;0;f4, g6, h6;3;a6, f7;2;a6, b3, d7, e7, f8;5;d3, d7, f7, e7, f8;5;f7;1;a6;0;False;False
35;False;Qe5;Qe7-e5;1163;37;Qe5;1158;5;0;False;False;False;25;3;e5, f7;2;d5, f4, g6;3;g2, f4, g6, h2;4;h3, h2, g2, h6;4;;0;d5, f4, g6;0;False;False
36;True;Rg8+;Rg6-g8+;1160;25;Rg8+;1165;5;0;True;False;False;1;0;f4, g8, h6;3;f7, e5, f8;3;d7;1;f8;1;f8;1;e5, f7;0;False;False
36;False;Ke7;Kf8-e7;1153;1;-;0;0;-1;False;False;False;25;2;e5;1;d5, f4;2;g2, h2, h6, f4, g8;5;h2, g2, g8, h3;4;;0;d5, f4;0;False;False
37;True;d6+;d5-d6+;1165;25;d6+;1140;25;0;True;False;False;3;2;d6, f4, h6;3;e7, f7, e5;3;e5, e7;2;d7, e7;2;e7;1;e5, f7;0;False;False
37;False;Ke6;Ke7-e6;1169;3;Ke6;1181;12;0;False;False;False;24;2;e5, e6;2;d6, f4;2;g2, h2, h6, f4, g8;5;h2, g2, g8, h3;4;;0;d6, f4;0;False;False
38;True;Re8+;Rg8-e8+;1181;24;Re8+;1181;0;0;True;False;False;2;1;e8, f4, h6;3;e6, f7, e5;3;e6, f7, e5;3;d7, e6;2;e6;1;e5, f7;0;False;False
38;False;Kd5;Ke6-d5;1170;2;Kd5;1169;1;0;False;False;False;23;3;d5, e5;2;d6, e8, f4;3;f4, g2, h2;3;h2, g2, h3;3;;0;d6, e8, f4;0;False;False
39;True;Rxe5+;Re8xe5+;1173;23;Rxe5+;1184;11;0;True;True;False;3;2;e5, f4, h6;3;d5, f7;2;;0;;0;;0;d5, f7;0;False;False
39;False;Nxe5;Nd7xe5;1148;3;Nxe5;1151;3;0;False;True;False;29;3;d5;1;d6;1;f4, g2, h2;3;f2, g2, h2, h6, h3;5;;0;d6;0;False;False
40;True;d7;d6-d7;1158;29;d7;1136;22;0;False;False;False;26;1;f4, h6;2;e5, f7;2;a6, b3, e5;3;d3, f7;2;f7;1;e5;0;False;False
40;False;Rb8;Rb3-b8;1171;26;Rb8;1168;3;0;False;False;False;32;3;e5;1;d7;1;f4, g2, h2;3;f2, g2, h2, h6, h3;5;;0;d7;0;False;False
41;True;Nxf7;Nh6xf7;1142;32;Nxf7;1177;35;0;False;True;False;29;2;f7, f4;2;e5;1;a6, e5;2;d3;1;;0;e5;0;False;False
